epoch_id,timestamp,break_v,break_E_eV,n_points,PA_bins,status,features,cone_half_width_deg,input_file,break_index,error_message
95,2022-03-02 13:40:09,461282431.12011844,60.49396107359958,5259,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4140.0,
96,2022-03-02 13:41:09,440587795.4138241,55.18780487529629,5395,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3859.0,
97,2022-03-02 13:42:09,433309964.48140997,53.379628530889036,5033,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3566.0,
98,2022-03-02 13:43:09,461000052.71084577,60.41991984057297,4629,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3898.0,
99,2022-03-02 13:44:09,440742694.07909405,55.226616753955916,5160,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3991.0,
100,2022-03-02 13:45:09,438481691.5781099,54.66144693421876,4919,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3869.0,
101,2022-03-02 13:46:09,439842403.78199613,55.001228076169646,4966,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4110.0,
102,2022-03-02 13:47:09,440448140.3125662,55.15282416518117,4895,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4091.0,
103,2022-03-02 13:48:09,407572140.2128582,47.226653735713974,5161,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3962.0,
104,2022-03-02 13:49:09,440676686.25825083,55.21007596633691,5039,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4166.0,
105,2022-03-02 13:50:09,440843828.09731215,55.2519645614084,5151,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4271.0,
106,2022-03-02 13:51:09,464889593.2942682,61.44376841387956,5134,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4302.0,
